circuit,backend,N,stage,time_ms,throughput_wits_per_sec
keccak_iota10,cpu_circom,1,compile,0.000000,
keccak_iota10,cpu_circom,1,jit,0.000000,
keccak_iota10,cpu_circom,1,kernel,0.000000,
keccak_iota10,cpu_circom,1,d2h,0.000000,
keccak_iota10,cpu_circom,1,total,95.845376,10.433
keccak_iota10,cpu_circom,64,compile,0.000000,
keccak_iota10,cpu_circom,64,jit,0.000000,
keccak_iota10,cpu_circom,64,kernel,0.000000,
keccak_iota10,cpu_circom,64,d2h,0.000000,
keccak_iota10,cpu_circom,64,total,291.951616,219.214
keccak_iota10,cpu_circom,1024,compile,0.000000,
keccak_iota10,cpu_circom,1024,jit,0.000000,
keccak_iota10,cpu_circom,1024,kernel,0.000000,
keccak_iota10,cpu_circom,1024,d2h,0.000000,
keccak_iota10,cpu_circom,1024,total,3450.411520,296.776
keccak_iota10,cpu_circom,4096,compile,0.000000,
keccak_iota10,cpu_circom,4096,jit,0.000000,
keccak_iota10,cpu_circom,4096,kernel,0.000000,
keccak_iota10,cpu_circom,4096,d2h,0.000000,
keccak_iota10,cpu_circom,4096,total,18593.444096,220.293
