circuit,backend,N,stage,time_ms,throughput_wits_per_sec
keccak_round0,cpu_circom,1,compile,0.000000,
keccak_round0,cpu_circom,1,jit,0.000000,
keccak_round0,cpu_circom,1,kernel,0.000000,
keccak_round0,cpu_circom,1,d2h,0.000000,
keccak_round0,cpu_circom,1,total,176.538624,5.664
keccak_round0,cpu_circom,64,compile,0.000000,
keccak_round0,cpu_circom,64,jit,0.000000,
keccak_round0,cpu_circom,64,kernel,0.000000,
keccak_round0,cpu_circom,64,d2h,0.000000,
keccak_round0,cpu_circom,64,total,767.918848,83.342
keccak_round0,cpu_circom,1024,compile,0.000000,
keccak_round0,cpu_circom,1024,jit,0.000000,
keccak_round0,cpu_circom,1024,kernel,0.000000,
keccak_round0,cpu_circom,1024,d2h,0.000000,
keccak_round0,cpu_circom,1024,total,9905.038592,103.382
keccak_round0,cpu_circom,4096,compile,0.000000,
keccak_round0,cpu_circom,4096,jit,0.000000,
keccak_round0,cpu_circom,4096,kernel,0.000000,
keccak_round0,cpu_circom,4096,d2h,0.000000,
keccak_round0,cpu_circom,4096,total,42843.042304,95.605
