circuit,backend,N,stage,time_ms,throughput_wits_per_sec
keccak_round0,gpu_zkx,1,compile,203.529038,
keccak_round0,gpu_zkx,1,jit,162.348118,
keccak_round0,gpu_zkx,1,kernel,25.248447,
keccak_round0,gpu_zkx,1,d2h,0.000000,
keccak_round0,gpu_zkx,1,total,26.506549,37.727
keccak_round0,gpu_zkx,64,compile,40.476307,
keccak_round0,gpu_zkx,64,jit,115.311173,
keccak_round0,gpu_zkx,64,kernel,23.738079,
keccak_round0,gpu_zkx,64,d2h,0.000000,
keccak_round0,gpu_zkx,64,total,25.801156,2480.509
keccak_round0,gpu_zkx,1024,compile,129.884614,
keccak_round0,gpu_zkx,1024,jit,260.151384,
keccak_round0,gpu_zkx,1024,kernel,23.700672,
keccak_round0,gpu_zkx,1024,d2h,0.000000,
keccak_round0,gpu_zkx,1024,total,61.600521,16623.236
keccak_round0,gpu_zkx,4096,compile,159.699157,
keccak_round0,gpu_zkx,4096,jit,233.409642,
keccak_round0,gpu_zkx,4096,kernel,23.447168,
keccak_round0,gpu_zkx,4096,d2h,0.000000,
keccak_round0,gpu_zkx,4096,total,166.387865,24617.180
keccak_round0,gpu_zkx,65536,compile,17.784636,
keccak_round0,gpu_zkx,65536,jit,350.109523,
keccak_round0,gpu_zkx,65536,kernel,41.646209,
keccak_round0,gpu_zkx,65536,d2h,0.000000,
keccak_round0,gpu_zkx,65536,total,1319.133601,49681.094
