circuit,backend,N,stage,time_ms,throughput_wits_per_sec
keccak_iota3,gpu_zkx,1,compile,3.109985,
keccak_iota3,gpu_zkx,1,jit,39.804920,
keccak_iota3,gpu_zkx,1,kernel,0.849024,
keccak_iota3,gpu_zkx,1,d2h,0.000000,
keccak_iota3,gpu_zkx,1,total,0.964595,1036.705
keccak_iota3,gpu_zkx,64,compile,3.546114,
keccak_iota3,gpu_zkx,64,jit,43.291189,
keccak_iota3,gpu_zkx,64,kernel,0.869152,
keccak_iota3,gpu_zkx,64,d2h,0.000000,
keccak_iota3,gpu_zkx,64,total,1.485796,43074.554
keccak_iota3,gpu_zkx,1024,compile,3.474688,
keccak_iota3,gpu_zkx,1024,jit,54.627527,
keccak_iota3,gpu_zkx,1024,kernel,1.004192,
keccak_iota3,gpu_zkx,1024,d2h,0.000000,
keccak_iota3,gpu_zkx,1024,total,22.605480,45298.751
keccak_iota3,gpu_zkx,4096,compile,4.024483,
keccak_iota3,gpu_zkx,4096,jit,67.581628,
keccak_iota3,gpu_zkx,4096,kernel,1.462336,
keccak_iota3,gpu_zkx,4096,d2h,0.000000,
keccak_iota3,gpu_zkx,4096,total,79.694722,51396.126
